Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
01/Oct/2018 09:48:19,RockBLOCK 14435,MO,332e3139463030323939244750524d432c3039343830362e3030302c412c383035362e383736362c4e2c30313633322e343835342c452c302e32302c3131382e32362c3031313031382c2c2c412a36350d0d0d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.9524,16.633783333333334",,138,3
01/Oct/2018 05:37:03,RockBLOCK 14435,MO,460728405ee0a740e543d43fce6f3041ab2f0141b8a3923f1e357440a7a6053f773e014014d1fd41ff7ffe453724dd13370c2808a5052b04f502d5014301f200b2007d005d0045002b00380046007b008600ab016d02ea068106ff7fad747833e606d9fcbafb0bfb5bfca8fc69fed5ffd3ff9bff7fff2c00ecffecffebff2b001500620026008a0012004203ff7fce3b2613300204009f0243034101ecff6e00b40065000400e5fffcff03000200fafff0ff350011002d00e9ff2aff95ff4dec547aff7f0244c60fe1f72cf427fd0006be000efd2bfdfe01c4023d010a00e2ffe6ff6d00ffff77ff3cfa1603841056feff7faa3cad0e59ffcafae6f7b0f9fcffb202f200bbffabff3b00f2ff210071002200f6ff0000bc005d004b01ad015b035601c6785473be74ab7bff7fbd790e6ad25940544f604a6717556551715b4b493944524aa931ac1fd711650f35077407ec048205,"81.00638333333333,16.2602",,340,7
01/Oct/2018 03:04:36,RockBLOCK 14437,MO,332e3232463030323730244750524d432c3033303432332e3030302c412c383035392e393239322c4e2c30313630392e313135362c452c302e36332c39332e30332c3031313031382c2c2c412a35340d0d0d0d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"81.01623333333333,16.039933333333334",,138,3
30/Sep/2018 22:01:33,RockBLOCK 14437,MO,f5fd273fde504640352bd33e2bcb1b41c3485c3ee5523b3d208b5d3da8ae453d7ade5a3d60a4c540e17e2774c9747b7dff7f5b6cc0472e2b411e7c19d21a7420dd1dae0fc30cb307650348045404cc026403c5035d06d70c8f0c6639a553947bff7f8f4665062ff648fafbf942fec4011c013effa1fc88fc0400e9ffd5ffd7fb71fd42ffe2ff3600edf1ef027e36dd62ff7ff175844d1525970ae2fd4bfe8804b808d7fc8ded45f8e10092002a00fdfd99ff3a015dffc4ff8bffc50d5600ff7fc84e291fe608b9145e239915280a0e13581f691e3d02edf57a04510498003e011d070705cc01880578008a0244f735ecff7f3f6cc367165c6844b930541e0a07d7fe56075a09c4078f10cc06ea02de004700d0009eff42fdd700de026a021af4cbfaff7f386d875ba54bcf3ec436943309323f312034f330fc266424532d6631ad373f43a136a2314136b62fc32e2a23a51e651f,"81.0383,14.6499",,340,7
30/Sep/2018 21:55:20,RockBLOCK 14437,MO,332e3232463030323639244750524d432c3231353530362e3030302c412c383130302e353630372c4e2c30313534352e313832392c452c312e30312c39312e30352c3330303931382c2c2c412a35460d0d0d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.49671666666667,4.781666666666666",,138,3
30/Sep/2018 16:45:09,RockBLOCK 14435,MO,332e3230463030323935244750524d432c3136343432382e3030302c412c383035392e303236392c4e2c30313532302e363430352c452c312e33312c36302e37312c3330303931382c2c2c412a35420d340d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.9767,15.255116666666666",,138,3
30/Sep/2018 08:26:25,RockBLOCK 14437,MO,70753b3f3ede55409a73063f850518418769973ecb14a33cbc36aa3c2112e73d38f08f3d7a2e2141ff7fcc65ab5404462f345e23541bf81c77281e41935e926c985b7f39621d3f0f7b0cef0c2d09d305b10448050305f605e106c48b0180fc871492e1a25db24ab727c330e9d8fdaffab53d1f0dd1c212f1470ee8ff72e836f2f7fe3306bc0c300856f20f0eff721e7bbb74904cb80c81e71df4dd192b24dedfbe8b0180b5b6d0d1eed549ed47e819cf49ee41febd064d14ee08bcf600fbff7f6947ed3302392e3d36337b2803246e225e28de38013a33228d0ba504ca06970710073d0278febb0147ffbafef8feba01a17fc95b00492541a933441fb711741175252655ff7fd55f3b40dc426d2a9213b913ab1c7712c109cd080f0b020c59072d051b7f977cb678ca75b678ff7f757df668f04c4e34be24871d6d1b0e1c6420c3277828bf22001ea62106234a1d0c1c34110010,"80.94431666666667,14.257033333333334",,340,7
30/Sep/2018 08:18:30,RockBLOCK 14437,MO,332e3232463030323636244750524d432c3038313732342e3030302c412c383035352e353235382c4e2c30313432352e363339372c452c302e39342c38372e33372c3330303931382c2c2c412a35380d460d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.94431666666667,14.257033333333334",,138,3
30/Sep/2018 03:17:57,RockBLOCK 14437,MO,02d92d3fee5c5b403ddafc3e577c0c41023c983ea8ac473c526c653d7246793d6072913d796da0408234d924db1a9b18421b311cb61e23379066ff7f047718677749d92421153d14a00b2c055c0483040405a506ad096d0709090407ec413625feebdac693cfdfe59ce505bc018095bfed036071c2594333000a26f985f0ddf759f797fd2ef329f8830255137b146b0f410c590471f22cdb41c908a80180bfb4bd0b7cee9bd847000d0e9004b5f831fe5e0236022201cc08f002420c31135210b20044f9c8fb980747174a19e30cb1fbdcffc1e401807ca2dffcb3018702300a9e0279003e035fffbdfe79fe75f8a7fa0d192b171211850d3b0ac00055010c216d2ae0ca018025a5fa0bd20e4df4a8ffe40899ff2801cb023f06ce06fbf9a701b2fd9a7aae7cff7f7b764061da50f646d536f929e323fa1e581a601ccb258029b023d12997373e348e2a642a2824971bac24871c,"80.91863333333333,13.9812",,340,7
30/Sep/2018 03:11:47,RockBLOCK 14437,MO,332e3232463030323635244750524d432c3033313130362e3030302c412c383035342e363931382c4e2c30313430312e343238332c452c302e31332c34362e37302c3330303931382c2c2c412a35390d310d0d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"80.64191666666666,21.433083333333332",,138,3
