positions for logger RockBLOCK 18950
2020-07-15 22:15:06 (UTC) : 81.01328 N, 15.531806666666666 E (DD) 8100.7968 N, 01531.9084 E (DMS)
2020-07-16 01:42:25 (UTC) : 81.00539333333333 N, 15.528883333333333 E (DD) 8100.3236 N, 01531.7330 E (DMS)
2020-07-16 05:09:17 (UTC) : 80.98702333333334 N, 15.473995 E (DD) 8059.2214 N, 01528.4397 E (DMS)
2020-07-16 08:41:09 (UTC) : 80.979245 N, 15.402713333333333 E (DD) 8058.7547 N, 01524.1628 E (DMS)
2020-07-16 11:57:23 (UTC) : 80.97142 N, 15.425238333333333 E (DD) 8058.2852 N, 01525.5143 E (DMS)
2020-07-16 14:58:12 (UTC) : 80.95933 N, 15.428021666666666 E (DD) 8057.5598 N, 01525.6813 E (DMS)
2020-07-16 17:58:45 (UTC) : 80.950385 N, 15.414338333333333 E (DD) 8057.0231 N, 01524.8603 E (DMS)
2020-07-16 21:23:40 (UTC) : 80.94251333333334 N, 15.438146666666666 E (DD) 8056.5508 N, 01526.2888 E (DMS)
2020-07-17 00:49:26 (UTC) : 80.93862333333334 N, 15.500515 E (DD) 8056.3174 N, 01530.0309 E (DMS)
2020-07-17 04:15:15 (UTC) : 80.93905666666667 N, 15.528668333333334 E (DD) 8056.3434 N, 01531.7201 E (DMS)
2020-07-17 07:41:05 (UTC) : 80.94019166666666 N, 15.564896666666666 E (DD) 8056.4115 N, 01533.8938 E (DMS)
2020-07-17 11:05:37 (UTC) : 80.93771333333333 N, 15.64428 E (DD) 8056.2628 N, 01538.6568 E (DMS)
2020-07-17 14:30:54 (UTC) : 80.93762 N, 15.65723 E (DD) 8056.2572 N, 01539.4338 E (DMS)
2020-07-17 17:59:01 (UTC) : 80.94466166666666 N, 15.698153333333334 E (DD) 8056.6797 N, 01541.8892 E (DMS)
2020-07-17 21:24:15 (UTC) : 80.94651666666667 N, 15.736463333333333 E (DD) 8056.7910 N, 01544.1878 E (DMS)
2020-07-18 00:49:19 (UTC) : 80.95263833333334 N, 15.761508333333333 E (DD) 8057.1583 N, 01545.6905 E (DMS)
2020-07-18 04:15:05 (UTC) : 80.96089833333333 N, 15.734451666666667 E (DD) 8057.6539 N, 01544.0671 E (DMS)
2020-07-18 07:40:13 (UTC) : 80.96503 N, 15.672708333333333 E (DD) 8057.9018 N, 01540.3625 E (DMS)
2020-07-18 11:05:26 (UTC) : 80.95863666666666 N, 15.601788333333333 E (DD) 8057.5182 N, 01536.1073 E (DMS)
2020-07-18 14:30:42 (UTC) : 80.95555333333333 N, 15.486476666666666 E (DD) 8057.3332 N, 01529.1886 E (DMS)
2020-07-18 17:55:53 (UTC) : 80.95818 N, 15.397933333333333 E (DD) 8057.4908 N, 01523.8760 E (DMS)
2020-07-18 21:20:59 (UTC) : 80.95989166666666 N, 15.285836666666667 E (DD) 8057.5935 N, 01517.1502 E (DMS)
2020-07-19 00:46:02 (UTC) : 80.97024 N, 15.144785 E (DD) 8058.2144 N, 01508.6871 E (DMS)
2020-07-19 04:11:48 (UTC) : 80.97876666666667 N, 14.945751666666666 E (DD) 8058.7260 N, 01456.7451 E (DMS)
2020-07-19 07:36:56 (UTC) : 80.98005 N, 14.676328333333334 E (DD) 8058.8030 N, 01440.5797 E (DMS)
2020-07-19 11:01:27 (UTC) : 80.97482333333333 N, 14.459045 E (DD) 8058.4894 N, 01427.5427 E (DMS)
2020-07-19 14:26:39 (UTC) : 80.976495 N, 14.301085 E (DD) 8058.5897 N, 01418.0651 E (DMS)
2020-07-19 17:51:46 (UTC) : 80.98529166666667 N, 14.180006666666667 E (DD) 8059.1175 N, 01410.8004 E (DMS)
2020-07-19 21:16:52 (UTC) : 80.98528 N, 14.076941666666666 E (DD) 8059.1168 N, 01404.6165 E (DMS)
2020-07-20 00:42:39 (UTC) : 80.98319666666667 N, 13.952953333333333 E (DD) 8058.9918 N, 01357.1772 E (DMS)
2020-07-20 04:07:45 (UTC) : 80.989915 N, 13.853716666666667 E (DD) 8059.3949 N, 01351.2230 E (DMS)
2020-07-20 07:32:56 (UTC) : 80.98145333333333 N, 13.767443333333333 E (DD) 8058.8872 N, 01346.0466 E (DMS)
2020-07-20 10:58:13 (UTC) : 80.95920666666666 N, 13.707133333333333 E (DD) 8057.5524 N, 01342.4280 E (DMS)
2020-07-20 14:23:32 (UTC) : 80.949135 N, 13.731728333333333 E (DD) 8056.9481 N, 01343.9037 E (DMS)
2020-07-20 17:48:50 (UTC) : 80.94435166666666 N, 13.738293333333333 E (DD) 8056.6611 N, 01344.2976 E (DMS)
2020-07-20 21:14:00 (UTC) : 80.93794666666666 N, 13.713436666666666 E (DD) 8056.2768 N, 01342.8062 E (DMS)
2020-07-21 00:39:06 (UTC) : 80.93702333333333 N, 13.662565 E (DD) 8056.2214 N, 01339.7539 E (DMS)
2020-07-21 04:04:13 (UTC) : 80.95306333333333 N, 13.671523333333333 E (DD) 8057.1838 N, 01340.2914 E (DMS)
2020-07-21 07:29:24 (UTC) : 80.96265 N, 13.690755 E (DD) 8057.7590 N, 01341.4453 E (DMS)
2020-07-21 10:54:42 (UTC) : 80.96504666666667 N, 13.615988333333334 E (DD) 8057.9028 N, 01336.9593 E (DMS)
2020-07-21 14:19:56 (UTC) : 80.96731333333334 N, 13.556821666666666 E (DD) 8058.0388 N, 01333.4093 E (DMS)
2020-07-21 17:45:13 (UTC) : 80.97541 N, 13.527098333333333 E (DD) 8058.5246 N, 01331.6259 E (DMS)
2020-07-21 21:10:21 (UTC) : 80.96578833333334 N, 13.50357 E (DD) 8057.9473 N, 01330.2142 E (DMS)
2020-07-22 00:35:23 (UTC) : 80.95146833333334 N, 13.461445 E (DD) 8057.0881 N, 01327.6867 E (DMS)
2020-07-22 04:00:26 (UTC) : 80.94819166666667 N, 13.466368333333333 E (DD) 8056.8915 N, 01327.9821 E (DMS)
2020-07-22 07:25:39 (UTC) : 80.95456166666666 N, 13.508831666666667 E (DD) 8057.2737 N, 01330.5299 E (DMS)
2020-07-22 10:50:27 (UTC) : 80.94286 N, 13.491313333333334 E (DD) 8056.5716 N, 01329.4788 E (DMS)
2020-07-22 14:16:03 (UTC) : 80.92778833333334 N, 13.391948333333334 E (DD) 8055.6673 N, 01323.5169 E (DMS)
2020-07-22 17:41:40 (UTC) : 80.93237 N, 13.29326 E (DD) 8055.9422 N, 01317.5956 E (DMS)
2020-07-22 21:07:57 (UTC) : 80.93432666666666 N, 13.218541666666667 E (DD) 8056.0596 N, 01313.1125 E (DMS)
