Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
10-11-20 1:26,RockBLOCK 17328 - Antarctica-AAD,MO,ba2c913cd2c98541bcb66a3cdcaf79417934213aadba2a38f637a437d764c6389c633339c6b0cb3fff7fcc5dfd3b202468188e1390104b0e980cd709160678036402d20178012c01ce00af00af00a500500037002e0026001c00028086a9bce84dfdf8ffe207a60c000b6509c6074905fefd0bfe43ff3700a3fe6d0044fe19ffab00daffefff3b0062000200f354776fff7f38756d4b72113bf5120458f3b2cd82dd4df50702d6ff6efe14fe2ffd7aff6301050030ff790025ffdcfff0fffe7fed19b80389110215dd0bf2fd9bf44bf2f5f94f0248012dff9dffdcffaffeb7fe4f0065001c013d00770033004c0005000180a2b965e9d6f743f9f8fadefe180316061c07ec04a90073ffc0ff59ffd7ff7f001700e8ff2500ffff0300fdff2000feff8955f856dd60e972fe7f3b7d1570d25cd44bfa46a7495e4e7156e75e9b4ef3405f47a138c1371f2afe384f39dc301b364e29,"-66.20893333333333,110.51445",,340,7
10-11-20 1:19,RockBLOCK 17328 - Antarctica-AAD,MO,322e3434463030343438244750524d432c3031313931352e3030302c412c363631312e353837322c532c31313033372e383132392c452c302e30312c3239342e34392c3130313132302c2c2c442a37350d302c303030302a37350d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.4119,113.39855",,138,3
09-11-20 21:53,RockBLOCK 18655 - Antarctica-AAD,MO,9dcd703c1ad373413b16453c9a636541822f9d392fb22f3884752838e3836a377be7083890e9a83fff7fe876fc6cb958b73efc2ad61f92196e15ef105d0d6d09f8061205d80247022f02fd01fd0095008000860086003f002100028009a4fba14897d4b23ce4ec063c163d185e07b5f3c7eff2f1eff823fe560044002eff77ffacffc1ff5d000d00d8ffdfff636dfe7f4470df59e745542ba10da9f93af5dbf59ff87b053b08e302c8fe92fd82fef7ff290068ff2b001800b2ff0e00290001b4a4b55bf6844bff7f5879ba3d61279d506f37ebfbe10ed6133618c116c217cf128302b900d901c8014a0515015dff9800ff7f330d8cde2bf08a04a601fcf0bae634f334078dfeefe422e8b0fd6506fe01f90070ffaefe31005f0092ff36fff5ffd1ffff7f5574166d066c0c6e516da669a965675f6757664c8b4be753b455fa54714fc449f24539536752004c0141b12fcb38474f,"-66.20893333333333,110.51445",,340,7
09-11-20 21:47,RockBLOCK 18655 - Antarctica-AAD,MO,332e3231463030343538244750524d432c3231343733332e3030302c412c363631302e393431342c532c31313033352e383031302c452c302e30302c3132392e39322c3039313132302c2c2c442a37410d302c303030302a37320d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.20893333333333,110.51445",,138,3
09-11-20 21:11,RockBLOCK 17328 - Antarctica-AAD,MO,8dca803c70e27f410b25473cfd4e6d4190c5bb396376f937f3550938d19d6b374acf393891ddbc3ffe7f8457a03f4137f5326d2b16203013770ab1077806e704cf03930314034002b10184015601f90079005d0048003f002f00ff7f5373d53e11fdd1c543bdeadd74faec02a204fffeb9f807fa51f859f874fe19012902d303f200ffff43ff2400a0000a0001808eb43eedd3205b41a32ff80466f25ff188efdef2c3f7ddf979fac2fab6ff4c03ef005cfe9d00f300f8ffccff85007c0026ed851ba67eff7f2c033bb7c6e94938bb4967415d2c8d17661894227c17b0f8a2fe1012480f7c003c0197031302c200d5ffdb0074a2018021a5df0a3b3d4b192bf8f5f4daf7b4009a05a2042904f400e2fe66fc65ffa8fe14ffd5ff330027009b0001006771146f6c6b58615e5a235c32635770ff7fac7acb6fdc6a02655058b050fe4d154ff9483f3e15365e43423dcc379937322c,"-66.34885,112.56485",,340,7
09-11-20 21:04,RockBLOCK 17328 - Antarctica-AAD,MO,322e3534463030343437244750524d432c3231303435332e3030302c412c363631312e353837332c532c31313033372e383037332c452c302e30302c35352e31312c3039313132302c2c2c442a34440d0d302c303030302a37380d312c30362c322e33342c2d342e392c4d2c2d31352e352c4d2c2c2a37360d0000000000000000000000000000000000,"-66.22813333333333,110.6289",,138,3
09-11-20 17:45,RockBLOCK 18655 - Antarctica-AAD,MO,a3cf803c69d680416edb413c94ab694152aeb739a5f4073862478f38df0dd738072640386866be3fff7fe15ba5403030f527531f6513340cde0bd80c020c7a095c06990482035302f20119019b0096009d004c00480052003b00ff7f257c8134f2e77dbdb1bba9d798f66406920aab168e1b460f900131ff61fe6c0015007d00c7004f009cffe0ff6800950002802ab249e6c007060cb70242035e0b320f7d0899fd32f857fbe3fe8bff12ff6dfff8ff3effbfff0300eeff0a0026001300ff7f9c4ba222850fb0112a170b0ef802f2fd7efde7fef4fd06003902470029ff5601000159005b0088000e00f1ff4b004500fb810180cf911ea46aa9e8b6e0e07a04f713d50814f234e888ef5101c104f800c3fc7ffec100abff8600290025009affb8ffee6f21710d70326c0068be6af477ff7f306dd758c54f664a23448841b1451d3f313a7747485dfd4a4c34a53f3339b0265423,"-66.20893333333333,110.51445",,340,7
09-11-20 17:39,RockBLOCK 18655 - Antarctica-AAD,MO,332e3231463030343537244750524d432c3137333835382e3030302c412c363631302e393433392c532c31313033352e383039312c452c302e30312c3330312e38332c3039313132302c2c2c412a37300d34460d3030302a37390d0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"-66.1974,110.5976",,138,3
09-11-20 16:56,RockBLOCK 17328 - Antarctica-AAD,MO,5d857d3c486f874178884d3c45416b41c0eed5392cd62838e4ee31389a3a733828e42438a64ab73ffe7fb85d2e427131a927f51dd712a90bd00ac40cc40cd2085b05e6035602900172014d010b01b70086006300460044001e00ff7f8b4b4d0409d006d426eb9cf43ffc90004afbc2fd0402bdfde1fcedfc2c00c100a002e4009affc0ff1700c2ffc1ffd3ff0180cebdbf0fbd3bc125500114f7b9f743f585f44df964fe6bff9effb000ecfe5dfd66ff1f0076ff61ff010016002400edffff7f537ca95ac4314f1a131769191f169810290dcc0dba1027100010b50afc049300c101440173ffc5fff5ff4c00c8003500ff7f961812e879cec3c68fe971138213f1010000ce0680fefefda5fcbafea6ff0efe3afff4ff60fe97ff8bff28001c00dbffff7fb87cb0779973f1735577a47c187f5f7185579746e64d22577d555e6239612945873bf341b1444b38533b4b3cd035013a,"-66.20893333333333,110.51445",,340,7
09-11-20 16:49,RockBLOCK 17328 - Antarctica-AAD,MO,322e3533463030343436244750524d432c3136343934322e3030302c412c363631312e353837302c532c31313033372e383130342c452c302e30302c3139382e30352c3039313132302c2c2c442a37370d302c303030302a37460d36323434312e3030302c412c363631312e353836332c532c31313033372e383134352c452c302e30322c3236312e33,"-66.22813333333333,110.6289",,138,3
