Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
10/May/2021 08:50:06,RockBLOCK 19663 #6,MO,332e33302c32303231303531303038343835362c37352e393137363537362c31332e39303631393834,"75.94795,13.8573","3.30,20210510084856,75.9176576,13.9061984",41,1
10/May/2021 08:23:39,RockBLOCK 19636 #2,MO,581ee89860bc9c3d3c5901ee00e0005f0145015c01c501ba0205065003b103e10334042e09a11a692c9e42698c5263635f108dfe7dbaafe8fd93991573d0a082b87b79d16b1a70e185338ef875ba6f9060997d677c68b354646d62c63a33865f568f6b9b6bec71e86015b1a66f5472e98bb781ea824936000045,"71.87445,15.154066666666667",,122,3
10/May/2021 08:19:51,RockBLOCK 19663 #6,MO,332e33302c32303231303531303038313932352c37352e393139353339322c31332e39303434343830,"75.88868333333333,14.10755","3.30,20210510081925,75.9195392,13.9044480",41,1
10/May/2021 08:00:29,RockBLOCK 19636 #2,MO,47c946ecd298600d38d92a0ce60509460fda9860e0d5d92a238a040946fce0986079d2d82a43ce04094605e8986064fdd72a3593050945,"71.90736666666666,15.184233333333333",,55,2
10/May/2021 07:49:21,RockBLOCK 19663 #6,MO,332e33302c32303231303531303037343835352c37352e393231393936382c31332e39303137323634,"75.94795,13.8573","3.30,20210510074855,75.9219968,13.9017264",41,1
10/May/2021 07:31:36,RockBLOCK 19654 #3,MO,474c46df249560d05d742d3378aa0c46c52b95600b8e742dc4cfaa0c46d032956050ad742d5fd3ab0c46dd3995602cc9742d9645ab0c46fb4095602bd8742dc7ebaa0c46e7479560f3d3742dca06aa0c46f24e95606ee3742da831a90c46f9559560c1f2742d67b9a70c45,"75.95748333333333,18.948583333333332",,107,3
10/May/2021 07:19:59,RockBLOCK 19663 #6,MO,332e32382c32303231303531303037313933332c37352e393233363830302c31332e38393438353932,"75.94795,13.8573","3.28,20210510071933,75.9236800,13.8948592",41,1
10/May/2021 07:00:42,RockBLOCK 19654 #3,MO,474b469fec94604863712d838bb20c469ef394607fc9712d2a86af0c46a7fa9460a93c722d5938ad0c46940195600cf0722db97aa70c46b6089560f715732d5c74aa0c46a60f9560d675732d32eca90c46b116956080d2732d0cd3a90c46c11d95607b24742df80faa0c45,"75.99038333333333,18.99665",,107,3
10/May/2021 06:50:11,RockBLOCK 19663 #6,MO,332e33302c32303231303531303036343835382c37352e393236313530342c31332e38383137373630,"75.94795,13.8573","3.30,20210510064858,75.9261504,13.8817760",41,1
10/May/2021 06:34:14,RockBLOCK 19654 #3,MO,474a4647b49460fb1d702dbfe5cf0c464dbb9460cbfa6f2db801cd0c4666c2946044f86f2d3c7ac90c4655c994600b01702d04d8c50c465ed094609f2b702d14ddc10c4666d794602e6b702d7435be0c4677de9460d6a2702ddcd2b90c468ee59460ba01712da122b60c45,"75.95748333333333,18.948583333333332",,107,3
10/May/2021 06:23:51,RockBLOCK 19636 #2,MO,580acc98602cff553c2d015b02dc007b018b01ef0068014a0130021004bb033a040e095708871a4a23a22f784b9f36d73b5544e8fd8bc6aa4fc387ce87b757c4807480da53e95f086cae4aab8080363e6c00b6e05e6a634f963795697f88a0ff8751a422b15daea889f77fffc4649d0d778bafa592015d000045,"71.88333333333334,15.0428",,122,3
10/May/2021 06:19:17,RockBLOCK 19663 #6,MO,332e32382c32303231303531303036313835352c37352e393238343033322c31332e38363636333834,"75.98171666666667,13.892733333333334","3.28,20210510061855,75.9284032,13.8666384",41,1
10/May/2021 06:01:06,RockBLOCK 19654 #3,MO,474946177c9460d475702ddbbbda0c461e839460ab9f702dbaa1da0c46138a94602eb2702d2351da0c463791946081ad702db9b1d90c461e9894604ba5702d22b6d80c46259f94601a94702d2cf4d60c462da69460b382702d68d7d40c464ead9460e345702d8380d20c45,"75.99038333333333,18.99665",,107,3
10/May/2021 06:00:41,RockBLOCK 19636 #2,MO,47c546ecb69860f35ade2a7a33060946d5bd9860749add2a367f050946dfc498600ba0dc2a5d3c050946e5cb986027badb2a17a9040945,"71.92738333333334,15.072766666666666",,55,2
10/May/2021 05:49:50,RockBLOCK 19663 #6,MO,332e32382c32303231303531303035343932352c37352e393330333239362c31332e38343632383030,"75.94795,13.8573","3.28,20210510054925,75.9303296,13.8462800",41,1
