Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
30/Sep/2021 03:22:07,Zeni-v2021,MO,59402d5561930100005165263f36ebf63d4898ff3d3ebe943e030002000100000000000000020005002600dc003803ae0de22f3a87f1fbe8fddbc501949d70d832e8337443b843bf67094b3a28451574083507d8028701f00051002b001c0021002100290026001f00210022002b0022000f000d00090016002100210025001d001d0031003300000045,"82.36745,119.94568333333333",,138,3
30/Sep/2021 02:31:12,Zeni-v2021,MO,471f46432155617c7013319428a24746461a5561f0121331f77fa6474633135561a4bc1231a145ab4746370c556157701231783fb04746240555616c2b12310789b5474626fe546161eb11314af2ba4745,"82.34965,120.17891666666667",,81,2
30/Sep/2021 02:22:06,Zeni-v2021,MO,592f1f55619201000037691a3fa954f43d228afb3d9b456e3e0000000000000000000000000100080029007c00f3018d0fde4ead9d7bf4e8fdfdee1d94ad52f04aa355cd82713e422ed6231e112f0adb056e03f80090004e002f001c0014001a0016001d00190022002f002e001a0010001600200027001c0038004c0039003300220012000c00000045,"82.34965,120.17891666666667",,138,3
30/Sep/2021 01:22:11,Zeni-v2021,MO,59211155619101000045590d3f408cf93da8b1fe3dda658a3e0000000000000000000000000100060017009400b2015c047c12ef3b4f9ee8fd34c5b68ee6759e7f2d55e83694261118cd09e80561042f02f00055004500300022001900110012000e00150012001b00130014001b00100014002d0035002200210023001a000e000c000e000c00000045,"82.34965,120.17891666666667",,138,3
30/Sep/2021 00:22:05,Zeni-v2021,MO,591003556190010000627bfe3eb12ff63d4dc6fd3df234133e00000000000000000000010002000b0051005c0258073a0f005ae097e8fd2be3f7bbfffba9ada876818ac072f43ca631c4206e17340d8b060702ef013c019e00470037003c003a005900530035003c00270028003a002e002100250020002a0041003f0058007300370028001300000045,"82.33173333333333,120.41106666666667",,138,3
29/Sep/2021 23:31:03,Zeni-v2021,MO,47194614f7546199a91131209bc0474616f054615d5c11317b7dc6474606e954616e0611315e72cc474605e2546161ac10318a3ad24746f3da5461854610316dffd74746f8d35461d6da0f31ee64dd4745,"82.72215,115.42686666666667",,81,2
29/Sep/2021 23:22:07,Zeni-v2021,MO,5900f554618f01000059db2b3f7db9f43db8d7fb3dd67b9b3e0000000000000000000000000100060027001301d703751924385f86c7e4e8fd4cc8f69b4f7453723556a8492437df2e6e1e200ddf07f306ce043002d70072004c002500190017001600200019000b0010002900250012000e0021006b0086004b00490047002e0015000f001300000045,"82.57566666666666,117.0611",,138,3
29/Sep/2021 22:22:16,Zeni-v2021,MO,59f0e654618e010000d2823b3fa89cfb3d044d013e92edae3e000000000000000000000000030009003000ab00dc011b0a3539e76ea8be2ddb77dc2ee6e8fd16aaa2718b762d53ff208828121aa910350575058c0204019500310013001200130010000c000c000b001300200018000b001f0041004300390019000d000b00120016000d000f00000045,"82.0412,126.92165",,138,3
29/Sep/2021 21:22:08,Zeni-v2021,MO,59e3d854618d0100004e09173f99adff3d51e3033ef4668e3e0000000000000000000000000100080025009d000e02140bdb246343306a01bdafcee8fd14973c787a66cb58a157f13ed231452d7b1aff0cab09f202e20094003a001400150011001300120018001e00150012001f0041005e00550036002100180017001b001d002d001c001400000045,"82.33173333333333,120.41106666666667",,138,3
29/Sep/2021 20:31:01,Zeni-v2021,MO,471346e2cc54618f610f31ba93e24746e6c55461b1da0e31927ee74746d3be5461d2460e318a3eec4746d5b7546131b20d31e0f0f04746c3b05461e01d0d319fa9f54746c6a95461db810c31736ffa4745,"82.3137,120.64211666666667",,81,2
29/Sep/2021 20:22:08,Zeni-v2021,MO,59d0ca54618c0100008fb51c3fd65dfc3df7f0013e68bb843e00000000000000000000000003000f003100cf005504df17a02ba439168f03f7e8fd9ded19b437ac1b7ab94e6a2a48231e2c8624e319dd15f2076f04d901170193003a002c002a0018001a001e0014000f0015002f003b0041001b0009000c001800210018001d00250026002600000045,"82.3137,120.64211666666667",,138,3
29/Sep/2021 19:22:11,Zeni-v2021,MO,59bfbc54618b01000055d1243f8b46f83de602003ea587963e0000000000000000000000000300060018008400fc01a7060a27b49719d1e8fdd2aa829adb8435557f6f2062cc3ebe1f8c26132d5a186708c204b402c901c70054004e003c0023001d00180015001b001d0028001f0016001d0016001b002c00200027002c001300110012000d00000045,"82.3137,120.64211666666667",,138,3
29/Sep/2021 18:22:05,Zeni-v2021,MO,59b0ae54618a010000903bea3e8b9cfc3d7621023eb15b1f3e000000000000000000000000040010003e00b400e603dd0ec323e4637f930595c9e1e8fdd6a16f9a5975024e38419135bc230f1aa914b509c70721059401c500c1004e00320026002f002900270020002d00450033001a0017001b0014001c001a0023003900310023001d001f00000045,"82.29553333333334,120.87208333333334",,138,3
29/Sep/2021 17:31:08,Zeni-v2021,MO,470d46b3a2546118dc0b31e577ff4746b59b54613d2f0b310d97044846a2945461097a0a3121fe094846a68d546146bf093126a50f48469486546193fa0831539a154846977f5461ba31083194921b4845,"82.3137,120.64211666666667",,81,2
29/Sep/2021 17:22:07,Zeni-v2021,MO,599fa05461890100000d86173f1dc5f93da3eaff3d6f299a3e00000000000000000000000002000d003200c9007401ec064c1fd8374f8bcce1e8fd3dd1045ecc57fa554b253d1ef0165910930eee1541123e07aa027701c0005a00210014000f0011001a00120022003200180019001e00230017001e001c0011000e0012000d00110014001000000045,"82.28311666666667,120.50611666666667",,138,3
29/Sep/2021 16:22:07,Zeni-v2021,MO,5990925461880100007fb8493f45ca003e6608043edafc083f01000000000000000000000001000a0014003300380136057509dd1bb487fcbeaac4e8fdeabdab9b656d87313f245b309232031fd9106d0b2909b4072a030d01b900840043002d00150014001d0025002b0029001f00340032002c0025001c001d00260015001f001f0021001900000045,"82.29553333333334,120.87208333333334",,138,3
29/Sep/2021 15:22:13,Zeni-v2021,MO,598184546187010000b63a493f9559fc3d3480023ead04093f0000000000000000000000000200050016004d00a4010605a70f453225cde8fdb7c4637f114ec5490b5f3955572fed1de316f5247a28571a5c15910b7205af0264020402cd004b0054004a002c002d001c001b001f002e002a0014000e0011002f0045003500360021001a002200000045,"82.29553333333334,120.87208333333334",,138,3
29/Sep/2021 14:31:21,Zeni-v2021,MO,59a97754618601000085de793fd658ff3ddcec043e8c5b153f010001000000000000000000010005002a00c700c804260d77260e7e22c3e8fda3e254d345d30180d95cd56fc37fba84eb3e92310440062c7e18c108d8090c0be407ce021f01bb00c2005a00390029003300430039003b002b0034002e00310035004000450037001b0018001d00000045,"82.26503333333334,120.73548333333333",,138,3
29/Sep/2021 14:31:00,Zeni-v2021,MO,47074681785461915d073133a32148468571546191910631019d274846726a5461dfcc0531256a2d484677635461ad080531bad1324846665c5461713f04310ecb37484665555461cb7f033167383c4846534e546110b10231756b404845,"82.24683333333333,120.96375",,94,2
29/Sep/2021 13:22:07,Zeni-v2021,MO,59606854618501000080ae853f4b26003ed1a7043e2f6f6e3f0000000000000000000000000100050011007600750243084a1893360881b89ae8fd68db8b8c7b6f60559a35f0339b2c943a4d29d51f91217b154a1116058403be030402d6018a01d6005c00220018000f000a001300130017000d000e001100150014001a0015001b000f001400000045,"82.27725,121.10093333333333",,138,3
29/Sep/2021 12:22:15,Zeni-v2021,MO,594f5a5461840100006b40963f9b91fc3d8da3023ee13c703f000000000000000000000000010006001e008000d501a4096d1ac365e8fdebd54dbe2fcb76b9dc74609a3b66952c06280b23b2229a1d481dc411690d5c08a70a3e070b044d024d01af00740027001f001a00100012000d0007000b000900050006000a0008001200160008000300000045,"82.24683333333333,120.96375",,138,3
29/Sep/2021 11:22:40,Zeni-v2021,MO,59614c546183010000835b9d3f3a04fe3db661043eb019753f010001000000000000000000020012006800eb005103dc0d2628cc80e8fd0cdd25b47bab59ace3725d51c587329ae26ca347d13ecf2ded23dd16ba096708b7061f03a6018c014601e500cb0054002d000e000b000b00050005000800050004000500040007000a00080006000600000045,"82.25885,121.32868333333333",,138,3
29/Sep/2021 11:01:26,Zeni-v2021,MO,4700465647546114de0131475044484644405461fd020131e6dd47484646395461433900314e004b484633325461be66ff3012e84d4846352b5461f38cfe30579250484622245461759ffd30d02e534845,"82.24683333333333,120.96375",,81,2
29/Sep/2021 10:22:12,Zeni-v2021,MO,59303e54618201000006bda43f5b21ff3d4311043e50fb9c3f00000000000000000000000002000c003e00c700e103480b161b654ad48d84eee8fdf9abfd9813a5e95f6238d951bf5ce82a8021e82554252a0e6e07230642068704d802860122016b002b0022001d000e000d000c000c000400040006000800080007000d000d00090006000300000045,"82.25885,121.32868333333333",,138,3
29/Sep/2021 09:22:10,Zeni-v2021,MO,591f30546181010000e7a59b3f2fd2fa3dda1f033ef884603f01000100000000000000010004000e004800ae018906a111ec4cf3c5e8fd9bc3cd6dd7717e8ae0a440e46995f68306462533ac312b26a422dc1e110d370733073f04db01b9010501b30071002f000e001100120010000a00090007000c00100010000c00090011001c000e000900000045,"82.2285,121.19093333333333",,138,3
29/Sep/2021 08:22:23,Zeni-v2021,MO,592922546180010000f422ae3f02a5fa3d689e013e86d0a83f01000100000000000000000002000e003e00ee006e045f0ee135d45c01a4e8fd45a506d6ddb85390494ccf3e4032e631e024fd24fa26041af40b58084d068803be01d80070005b00450025000e000d000d000b001100130009000500050009000c0008000a000800050005000600000045,"82.21636666666667,120.82765",,138,3
29/Sep/2021 08:01:16,Zeni-v2021,MO,47fa46251d546117b3fc307f9e5548461216546105befb30fb28584846170f5461ddbdfa3065975a484602085461b0aef9306ff95c484606015461659bf8306d2b5f4846f2f953617180f7306c3e614845,"81.77116666666667,113.42868333333334",,81,2
29/Sep/2021 07:22:18,Zeni-v2021,MO,59021454617f010000f58ba33f999cfe3db16e033eac379e3f0100000000000000000000000100080046004c01fe023209102200599d817fcfdbaae8fd9db2ee6eb99593542242f646e924231fd918730ff50ab7092106e703bd01f100ac005000200018000f000c000d001300150010000e0009000b000a000600060008000700080007000600000045,"82.26306666666666,122.28748333333333",,138,3
29/Sep/2021 06:22:06,Zeni-v2021,MO,59f00554617e010000e568a53f88cffc3d7d88023ea5e5af3f0100000000000000000000000100040014007f00a8013307d71dfc45f2a7e8fd44a7668b27784a72d864ca3e354d61493b29042649164a10d808aa042703d70081006f0049002800110016000d0009000e000c000f00180012000c0008000500060006000800080008000a000b00000045,"82.21006666666666,121.41703333333334",,138,3
