Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
03/May/2022 08:14:52,2022_seal1,MO,547950dbe370626ffc0123fe8104004100000100000100000106fd0606fdfd505ddb70626ffbc123fe4204000200000100000100000106fd0606fdfd504cce70626ffbc123fe4107ffc200000100000100000106fd0606fdfd5005ce70626ffb8123fe0207ff8200000100000100000106fd0606fdfd50b2c670626ffb8123fe0107ff8100000100000100000106fd0606fdfd50ddbf70626ffb8123fe0107ff8100000100000100000106fd0606fdfd50a2b870626ffbc123fe4107ff8100000100000100000106fd0606fdfd501fb270626ffbc023fe4207ff8100000100000100000106fd0606fdfd45,"66.9225,-32.4221",,235,5
03/May/2022 08:05:41,2022_seal1,MO,4771464ee17062edebe02735eba7ec46afd97062ba4de12794c8a8ec4687cc70628105e2277f12aaec4675cc70623a18e227940daaec46efc4706290c2e2276169abec464fbe70627ec4e2272167abec46deb6706258ade327e968adec4691b070626961e32769b4acec4608a9706220ade327e569adec45,"66.9225,-32.4221",,120,3
03/May/2022 03:33:40,2022_seal1,MO,476846f3a1706208dfe3274310aeec46f29a7062be15e427fb8faeec46c2937062cb2be4273219afec46c38c70627c4ce4279869afec46cc857062194ce42717beafec46c87e7062d44ae42740ecafec46a77770623950e4270ffeafec46c5707062f744e4271528b0ec46c16970629057e4278e5ab0ec46256370620259e4277a79b0ec46ab5b70626f6ee4277eb4b0ec46a5547062ae8be427bce9b0ec46e0a46f621ad2e8275af6bbec46c29d6f62c2d8e8272ce6bbec46d3966f62f9e3e827daa3bbec46bd8f6f6257dce827da04bcec46d5886f628809e92725e7bbec46b0816f626632e927595dbcec45,"67.07771666666666,-34.32835",,237,5
02/May/2022 21:41:26,2022_seal1,MO,546450774f70626ffd0120000204000100000100000100000105fd0505fdfd50644870626ffd8120000104004200000100000100000105fd0505fdfd508a4170626ffd8120004104008200000100000100000105fd0505fdfd504a3970626ffe012000c104014100000100000100000105fd0505fdfd50103370626ffe002000c104014200000100000100000105fd0505fdfd50ff2b70626ffec120010104018100000100000100000105fd0505fdfd50002570626fff0020018104024100000100000100000105fd0506fdfd50fb1d70626fff402001c104030200000100000100000106fd0606fdfd45,"66.96805,-32.393883333333335",,235,5
02/May/2022 21:32:02,2022_seal1,MO,475c46994d706267b2e427bc4cb1ec46d6467062f2e6e427fcbab1ec46f83f7062d821e527ae4cb2ec464b317062902fe627d064b4ec46742a7062d42ee6278c69b4ec4666237062df92e6272d4eb5ec465e1c70625830e727d69fb6ec4672157062ea61e7276d1db7ec46520e706201efe727e544b6ec4632077062bb20e82709ffb8ec46540070620469e827ead0b9ec463ef96f62f2a7e827797fbaec4637f26f62b4e7e827db26bbec4648e46f624529e92732e8bbec4676dd6f62ce2be9270056bcec4649d66f624131e9279e67bcec46cfc76f624e01e9276e85bcec462fc16f62ea01e927e886bcec46c3b96f621cd5e827f42ebcec4645ac6f62ced4e8270532bcec45,"66.94016666666667,-32.34486666666667",,263,6
02/May/2022 06:06:09,2022_seal1,MO,4742468d736f62fe77e92782e5bcec468d6c6f62c187e9278cccbdec468d656f6277aee9279f68beec46825e6f621edce92759f7beec469a576f6285fce927de91bfec467b506f627a11ea27833cc0ec46e0496f62c22cea279faec0ec46c43b6f628532ea27319bc1ec4627346f629031ea27e12ec2ec46672d6f62b731ea27e52cc2ec464a266f62ba1aea27c75dc2ec462e1f6f62ae03ea277f76c2ec4628186f6225f4e927716ec2ec4661116f623adce927dbf8c1ec45,"66.95781666666667,-32.26748333333333",,185,4
01/May/2022 22:05:41,2022_seal1,MO,4734461c036f62dad6e9277fc7c2ec465efc6e6224dbe927cc09c3ec4638f56e624127ea274a34c3ec4641e76e62980cea27e5bcc4ec46e2df6e62c72bea27001ec6ec460c456e621b02ec272263dbec46493e6e62b601ec270564dbec4648376e62c6cdeb27aeb2dcec4623306e621bbfeb272f3edeec4614296e6264d8eb27b4dedfec4639226e62c91cec278592e1ec46e51a6e6234eaee27c022e9ec466b146e6279e9ef272eabd3ec45,"66.98573333333333,-32.31645",,172,4
01/May/2022 19:03:28,2022_seal1,MO,5982d16e620f0000003f71323c89de713d3ae9aa3dfcecdc36ca1b5471e8fd37d4b965f4547d198c17cf18f619c91d4d27f8241e27c519671101129e18a6194815021be5140c1cd124bb17f1200c22371f8f27851e091c59206f1c0d2f122348101f1b32244f1adf188315fa1f472d9a26a917f2145a1db620d320501e9521e0227e1e72104e0f000045,"66.98573333333333,-32.31645",,138,3
01/May/2022 19:02:56,2022_seal1,MO,472f46e6d86e62bf46ea27e1a9c6ec46d0d16e62259cea27f8c6c7ec46d6ca6e62a2eeea27b60bc9ec46f6c36e62692aeb27d5b5caec463bbd6e62ae96eb2701a9cbec46daae6e62ad68ec27f678ceec4687a76e621805ed27d43ed1ec46b3a06e625206ed270e3dd1ec46a5996e62045fed27228ed2ec46a2926e62d39eed274bbfd3ec46c98b6e62f6c8ed2747e5d4ec46b8846e62acf9ed2774f7d5ec46817d6e624718ee2732ecd6ec4684766e627e24ee276d96d7ec46df6f6e62132dee279404d8ec463f686e62863aed27c521d9ec4690616e62d2f1ed277492d8ec46505a6e627b69ed27fefdd8ec4681536e62e037ed274220d9ec46784c6e62ffc2ec273f8fd9ec45,"66.97543333333333,-32.18998333333333",,263,6
01/May/2022 04:02:02,2022_seal1,MO,471346f0056e624496ee272d9ce8ec46f3fe6d62b1e4ee275230e9ec4618f86d626b71ef2788c0e9ec46bfbf6d62536fee27e4eee6ec46acb86d6218c1ed271ab2e6ec46a5b16d62b7b6ec278527e7ec46a9aa6d62bc79ec278954e7ec469aa36d6206f1eb27d232e8ec46a79c6d62a985eb270e7fe9ec464f956d627964eb270a5eedec46648e6d62f466eb273265edec4676876d62d0fceb273b79f0ec468f806d6225cbec2724d1f3ec462f796d621dfdee27e09dfaec4657726d62c501ef27af95faec46cd6b6d621697ef27ff7fffec4645646d621da2f127efe900ed46275d6d62bee5f2278dbc03ed46b2536d62bf99f427432007ed45,"67.01055,-32.03456666666667",,250,5
25/Apr/2022 07:03:17,2022_seal1,MO,473b46414766629cbcc627d1b9ffec46b239666248aac627fb8600ed461b326662bbacc627a0e100ed46212b6662dfb1c6274c3c01ed46f52366624efbc527d2f401ed46e91c6662bfe3c627be1e02ed461c1666625c13c727f37302ed46e20e6662424fc72782df02ed4617086662d970c7275b4a03ed460bad6562bc7bc927ccf603ed46cba56562c369c92727c803ed46c39e65626f52c92761b203ed467c8965621cfbc8274d0303ed46a67465622bc0c827a27202ed467466656285bac8271c1202ed46044a6562ebe0c827b1df00ed465043656231e7c827a58c00ed46d53b65621d01c927dfecffec46f93465628202c9277be9ffec46ad266562340ac9274120ffec45,"66.75138333333334,-31.851383333333334",,263,6
24/Apr/2022 09:03:43,2022_seal1,MO,472546d41165626a2ac92713aefeec46c60a6562493ac927314ffeec46c80365622c47c9270a08feec46b3fc64626b49c927ff5bfdec46ecf564625d4dc927b805fdec4665e06462c2f5c827d0dcfaec468fd96462c9f8c82793dcfaec45,"66.75138333333334,-31.851383333333334",,94,2
24/Apr/2022 05:10:37,2022_seal1,MO,54285060db64626ff74223fb8104004100000100000100000100ff0000ffff506a0e64626c0000201046040f8200000100000100000100ff0000ffff506d0764626c0001200b0204090100000100000100000100ff0000ffff50630064626c0000200a0204090200000100000100000100ff0000ffff502bfa63626c00012007c204070100000100000100000100ff0000ffff5027ec63626c0040200cc6040d020000010000010000010000000000005006e563626c00012009c2040a82000001000001000001000000000000502ede63626fffc12007c204074200000100000100000100000000000045,"66.77938333333333,-31.899366666666666",,235,5
